,3132,21
9,20361.5,70.0
10,23494.5,70.0
11,26627.0,70.5
12,29759.5,70.5
13,32892.0,70.5
14,36024.5,72.5
15,39157.5,77.5
16,42290.0,78.0
17,45422.5,79.0
18,48555.5,79.0
19,51688.0,79.0
20,54820.5,79.0
21,57953.5,76.0
22,61086.0,73.0
23,64218.5,70.0
24,67351.0,69.0
25,70483.5,69.0
26,73616.5,69.0
27,76749.0,69.0
28,79881.5,70.0
29,83014.5,71.0
30,86147.0,74.0
31,89279.5,78.0
32,92412.0,80.5
33,95544.5,80.5
34,98677.5,84.0
35,101810.0,95.0
36,104942.5,105.0
37,108075.5,108.0
38,111208.0,108.0
39,114340.5,108.0
40,117473.5,107.0
41,120606.0,86.0
